[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
  21 -.61559286060224E-002 0.19294077855962E-003 0.30612940154462E-011 0.13390454507184E-008 0.21880469257584E+000 0.69052664459637E-007 0.32025103145148E-002 0.14733855239941E-004 0.11377982066508E-011 0.67428622281618E-013 0.40924003546706E-006 0.52316557290659E-001 0.81994819795764E-003 0.26690010759767E-003 0.22784150094130E-010 0.24874421447973E-004 0.12367320899342E-005 0.14355850980249E-004 0.28845465713057E-008 0.21821366194688E-004 0.84850556180289E-017 0.49187914411316E-008 0.72431894104679E+000 -.10272066045860E-021 0.34055635632723E+003 0.43367742494133E-001 -.24599321686185E+003 0.55167226685534E-001 0.10132500000000E+006 0.98670598415303E-003 0.27573685347802E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.34055635632723E+003 0.12713467355609E+000
  22 -.54453472823911E-002 0.20041328515190E-003 0.43307654025681E-011 0.15570993176556E-008 0.21856809168488E+000 0.81052170547573E-007 0.35520699661555E-002 0.16558262001371E-004 0.15218478546028E-011 0.91437397157279E-013 0.47395634677897E-006 0.52076580076843E-001 0.92373501752789E-003 0.31134091383827E-003 0.31067312626811E-010 0.28884601457511E-004 0.15116595825141E-005 0.16710316625229E-004 0.37821105003355E-008 0.25731164971001E-004 0.93710749546661E-017 0.55456126921409E-008 0.72427780712061E+000 -.11488652604065E-021 0.34526707586269E+003 0.43367742494133E-001 -.24525664274081E+003 0.55167226685533E-001 0.10132500000000E+006 0.97312503362317E-003 0.27570324280729E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.34526707586269E+003 0.16022243555652E+000
  23 -.47795076598251E-002 0.20772083791624E-003 0.60774833374027E-011 0.18026429617360E-008 0.21831450412063E+000 0.94222102288420E-007 0.39096075526765E-002 0.18450545060997E-004 0.20041555582750E-011 0.12207757574209E-012 0.54570994800723E-006 0.51837518277940E-001 0.10316920571924E-002 0.35906158869256E-003 0.41499804017373E-010 0.33160935747933E-004 0.18187367449475E-005 0.19234490532600E-004 0.48734858915411E-008 0.29974908536304E-004 0.10286617622742E-016 0.61979898468832E-008 0.72423660309246E+000 -.12850551853390E-021 0.35011767392323E+003 0.43367742494133E-001 -.24451860445990E+003 0.55167226685533E-001 0.10132500000000E+006 0.95952256591398E-003 0.27566859326320E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.35011767392323E+003 0.19893755103206E+000
  24 -.41514889080853E-002 0.21489746326280E-003 0.85050366894485E-011 0.20793094139514E-008 0.21804415285361E+000 0.10865586458893E-006 0.42750629533609E-002 0.20410735331821E-004 0.26053482899007E-011 0.16087547756698E-012 0.62524357410582E-006 0.51599125384206E-001 0.11438111178382E-002 0.41009284121134E-003 0.54487213341560E-010 0.37702293141841E-004 0.21588642804255E-005 0.21930024075262E-004 0.61890363394003E-008 0.34558962034774E-004 0.11234315887103E-016 0.68758556154000E-008 0.72419534739825E+000 -.14250739053284E-021 0.35510696251774E+003 0.43367742494133E-001 -.24377792003614E+003 0.55167226685532E-001 0.10132500000000E+006 0.94591853401259E-003 0.27563285604830E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.35510696251774E+003 0.24396404099132E+000
  25 -.35558803563575E-002 0.22196999573456E-003 0.11927601532302E-010 0.23911602843567E-008 0.21775723746657E+000 0.12445555057815E-006 0.46483526495779E-002 0.22438877404347E-004 0.33499400859749E-011 0.20967081995013E-012 0.71335111281369E-006 0.51361205462217E-001 0.12600814170820E-002 0.46446399370539E-003 0.70496571743657E-010 0.42507360798746E-004 0.25328153294363E-005 0.24798520529612E-004 0.77632416277100E-008 0.39489511990369E-004 0.12216913136527E-016 0.75791284966125E-008 0.72415406630288E+000 -.15782889153737E-021 0.36023348720148E+003 0.43367742494133E-001 -.24303357166523E+003 0.55167226685531E-001 0.10132500000000E+006 0.93233237418991E-003 0.27559599992665E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.36023348720148E+003 0.29608853009032E+000
  26 -.29883608767223E-002 0.22896005032800E-003 0.16832388314059E-010 0.27427509672716E-008 0.21745393761081E+000 0.14173321552578E-006 0.50293823715405E-002 0.24535061438470E-004 0.42670344606690E-011 0.27067690876940E-012 0.81088334748581E-006 0.51123595242573E-001 0.13804918259968E-002 0.52220348074391E-003 0.90065608796544E-010 0.47574686483365E-004 0.29412323046074E-005 0.27841560070068E-004 0.96352788962182E-008 0.44772603936568E-004 0.13237340616597E-016 0.83077259144932E-008 0.72411279086003E+000 -.17296394869623E-021 0.36549566793809E+003 0.43367742494133E-001 -.24228465378887E+003 0.55167226685530E-001 0.10132500000000E+006 0.91878254783664E-003 0.27555800619593E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.36549566793809E+003 0.35622776283051E+000
  27 -.24454129628669E-002 0.23588540584922E-003 0.23969640382993E-010 0.31392057570955E-008 0.21713441266394E+000 0.16061255133875E-006 0.54180581188870E-002 0.26699451762889E-004 0.53911725466479E-011 0.34655331326466E-012 0.91875439783863E-006 0.50886150817325E-001 0.15050332817634E-002 0.58333975534666E-003 0.11381391148078E-009 0.52902754195739E-004 0.33846272122682E-005 0.31060745591075E-004 0.11849698070765E-007 0.50414220666105E-004 0.14298790337004E-016 0.90615785824969E-008 0.72407155459650E+000 -.18796699520286E-021 0.37089193129319E+003 0.43367742494133E-001 -.24153033357708E+003 0.55167226685530E-001 0.10132500000000E+006 0.90528618413853E-003 0.27551886494961E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.37089193129319E+003 0.42546273598383E+000
  28 -.19241206420060E-002 0.24276103487885E-003 0.34476860765757E-010 0.35863076767090E-008 0.21679879722701E+000 0.18123106286974E-006 0.58142977326334E-002 0.28932320440428E-004 0.67633699286890E-011 0.44049456936510E-012 0.10379496807703E-005 0.50648736482915E-001 0.16337019021040E-002 0.64790280795360E-003 0.14245662261352E-009 0.58490109292158E-004 0.38633871685038E-005 0.34457780275764E-004 0.14457219477375E-007 0.56420421425831E-004 0.15404793177193E-016 0.98406492272216E-008 0.72403039154485E+000 -.20333650625085E-021 0.37642086036641E+003 0.43367742494133E-001 -.24076981640073E+003 0.55167226685529E-001 0.10132500000000E+006 0.89185874960687E-003 0.27547857198367E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.37642086036641E+003 0.50507936623493E+000
  29 -.14219862764045E-002 0.24960040606336E-003 0.50044978553534E-010 0.40906470545228E-008 0.21644716636660E+000 0.20374453499713E-006 0.62180734046124E-002 0.31234257953099E-004 0.84325320849706E-011 0.55634891954907E-012 0.11695461617961E-005 0.50411197371925E-001 0.17665127851285E-002 0.71593145882041E-003 0.17682422295890E-009 0.64335972591578E-004 0.43778247318986E-005 0.38034848251487E-004 0.17515927149530E-007 0.62798029847520E-004 0.16559393439133E-016 0.10645016114277E-007 0.72398933149533E+000 -.22033627917833E-021 0.38208178753099E+003 0.43367742494133E-001 -.24000225680552E+003 0.55167226685529E-001 0.10132500000000E+006 0.87851275984452E-003 0.27543712295426E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.38208178753099E+003 0.59662214255193E+000
  30 -.93654417209669E-003 0.25642015741787E-003 0.73148695531805E-010 0.46601378576383E-008 0.21607929537221E+000 0.22834638024633E-006 0.66296740398930E-002 0.33607668880210E-004 0.10458506633645E-010 0.69885808990760E-012 0.13148205844289E-005 0.50173209189390E-001 0.19035886061634E-002 0.78752090586672E-003 0.21791302056542E-009 0.70444251187058E-004 0.49285449027223E-005 0.41797109274867E-004 0.21094892620126E-007 0.69559165492753E-004 0.17768002399450E-016 0.11475409870338E-007 0.72394837428969E+000 -.23616257600509E-021 0.38787850838240E+003 0.43367742494133E-001 -.23922626147620E+003 0.55167226685528E-001 0.10132500000000E+006 0.86524970324841E-003 0.27539448476974E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.38787850838240E+003 0.70201724768693E+000
