[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         200
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.90, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Burner stabilized flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Tsolid           Press            Density          MeanMass         Surface          Stretch          Porosity         DensSolid        HeatRel         
  21 0.25692584914583E-002 0.18719871247594E-003 0.39208183203238E-010 0.37699342842766E-008 0.21481191522920E+000 0.20419288135480E-006 0.91115535076857E-002 0.39429972761594E-004 0.74854002613648E-011 0.45158815886040E-012 0.93568710809012E-006 0.43768013740193E-001 0.25182661158964E-002 0.15880322969516E-002 0.26074308779310E-009 0.95879098659082E-004 0.51599331998010E-005 0.49757353395662E-004 0.22893361677895E-007 0.87044443702827E-004 0.43980457792557E-017 0.14080739956019E-007 0.72773656866396E+000 0.11316467126376E-019 0.36745906014085E+003 0.35000000000000E-001 -.27542625264753E+003 0.49925931535341E-001 0.36745906014085E+003 0.10132500000000E+006 0.91732753998729E-003 0.27659954073669E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.68965955883170E+000
  22 0.32765022780431E-002 0.19429704840984E-003 0.66957747696235E-010 0.45760535017526E-008 0.21403548351389E+000 0.23853755573767E-006 0.98464457112099E-002 0.43054701036518E-004 0.10147087795775E-010 0.62885285232858E-012 0.11216228765619E-005 0.43400843487554E-001 0.27546189797365E-002 0.17798145044856E-002 0.34258721777582E-009 0.10709583169014E-003 0.59668023021336E-005 0.55740930946141E-004 0.28543979934622E-007 0.98455454952807E-004 0.47800291768014E-017 0.15406939226235E-007 0.72767677392606E+000 0.12327250828564E-019 0.37837684360403E+003 0.35000000000000E-001 -.27434575934673E+003 0.49925931535341E-001 0.37837684360403E+003 0.10132500000000E+006 0.89063847714039E-003 0.27653115412254E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.84453738576543E+000
  23 0.39803028822130E-002 0.20162038328911E-003 0.11830759584334E-009 0.56012786336773E-008 0.21319979804921E+000 0.27956515617750E-006 0.10616521396671E-001 0.46908318567742E-004 0.13864884284441E-010 0.88215381900156E-012 0.13504078497191E-005 0.43022956183464E-001 0.30060497260465E-002 0.19880419697881E-002 0.45062966137929E-009 0.11916473106136E-003 0.68685140708748E-005 0.62240883513995E-004 0.35723564510306E-007 0.11096668375086E-003 0.52006598233334E-017 0.16817763499500E-007 0.72761717446127E+000 0.13466188690827E-019 0.38987292443968E+003 0.35000000000000E-001 -.27322399397223E+003 0.49925931535341E-001 0.38987292443968E+003 0.10132500000000E+006 0.86414940800609E-003 0.27645851774591E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.10401197897254E+001
  24 0.46684786486643E-002 0.20903353137638E-003 0.21104253003116E-009 0.68766917634215E-008 0.21231999327722E+000 0.32753508363942E-006 0.11407112787368E-001 0.50921637437951E-004 0.18944019632252E-010 0.12359556271133E-011 0.16246570830656E-005 0.42641294707864E-001 0.32680194752610E-002 0.22092120472579E-002 0.59022060851842E-009 0.13186239808029E-003 0.78487324805362E-005 0.69149055543685E-004 0.44676740183728E-007 0.12438167538360E-003 0.56587249585855E-017 0.18287706051387E-007 0.72755914781998E+000 0.14707485314519E-019 0.40172836445888E+003 0.35000000000000E-001 -.27208000949218E+003 0.49925931535341E-001 0.40172836445888E+003 0.10132500000000E+006 0.83841856545297E-003 0.27638307590663E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.12835237181147E+001
  25 0.53355548088869E-002 0.21645869896433E-003 0.37247006859848E-009 0.84401645634557E-008 0.21140644948731E+000 0.38286263764743E-006 0.12209086838221E-001 0.55048763828463E-004 0.25765779779560E-010 0.17212147210492E-011 0.19473556340281E-005 0.42259730883872E-001 0.35375770568706E-002 0.24408959212161E-002 0.76778005465787E-009 0.14503294959452E-003 0.88932461562502E-005 0.76390551551730E-004 0.55696156289021E-007 0.13856097292667E-003 0.61560677175285E-017 0.19800172418448E-007 0.72750345930699E+000 0.15935625845551E-019 0.41380353985694E+003 0.35000000000000E-001 -.27092439410870E+003 0.49925931535341E-001 0.41380353985694E+003 0.10132500000000E+006 0.81372515763590E-003 0.27630580376734E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.15835718467608E+001
  26 0.59805149507170E-002 0.22386202595662E-003 0.64211392965962E-009 0.10339958102264E-007 0.21046508644938E+000 0.44620556305660E-006 0.13017864779756E-001 0.59263423081159E-004 0.34817574561270E-010 0.23778058417556E-011 0.23223680761213E-005 0.41879814445166E-001 0.38131633217312E-002 0.26817152882623E-002 0.99133451083299E-009 0.15858409320049E-003 0.99908883150679E-005 0.83923022537166E-004 0.69142320102705E-007 0.15342409773930E-003 0.66975375022776E-017 0.21346385575961E-007 0.72745043709193E+000 0.17179191582036E-019 0.42602562364795E+003 0.35000000000000E-001 -.26976119750887E+003 0.49925931535341E-001 0.42602562364795E+003 0.10132500000000E+006 0.79015583301888E-003 0.27622725905763E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.19510831581961E+001
  27 0.66044026116420E-002 0.23123306876418E-003 0.10743375181746E-008 0.12636424740689E-007 0.20949909189007E+000 0.51845068947515E-006 0.13831450365200E-001 0.63549718948396E-004 0.46722189113032E-010 0.32570454698009E-011 0.27544111416942E-005 0.41501865399964E-001 0.40940379128578E-002 0.29309456684641E-002 0.12709008276803E-008 0.17246233259755E-003 0.11132377128766E-004 0.91724317491498E-004 0.85448753664416E-007 0.16892782536167E-003 0.72903849177247E-017 0.22922169744509E-007 0.72740018285875E+000 0.18430644878374E-019 0.43836023941153E+003 0.35000000000000E-001 -.26859097674483E+003 0.49925931535341E-001 0.43836023941153E+003 0.10132500000000E+006 0.76770132426105E-003 0.27614774928503E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.23986957900030E+001
  28 0.72088834829961E-002 0.23857073293588E-003 0.17406153065114E-008 0.15403084029310E-007 0.20851036436518E+000 0.60066921885355E-006 0.14648980636323E-001 0.67894977778515E-004 0.62267551031388E-010 0.44243626859768E-011 0.32488402406104E-005 0.41125716009374E-001 0.43798302653821E-002 0.31881710542038E-002 0.16188012834895E-008 0.18663224949711E-003 0.12309021611242E-004 0.99781717739384E-004 0.10511966369570E-006 0.18504619209135E-003 0.79438089212066E-017 0.24525430455599E-007 0.72735270479414E+000 0.19628030554293E-019 0.45079016680086E+003 0.35000000000000E-001 -.26741291519390E+003 0.49925931535341E-001 0.45079016680086E+003 0.10132500000000E+006 0.74631595886611E-003 0.27606746367975E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.29404825133730E+001
  29 0.77956427002573E-002 0.24587667742454E-003 0.27312633416595E-008 0.18728057866450E-007 0.20750027357249E+000 0.69407697900228E-006 0.15470010700655E-001 0.72286130695092E-004 0.82440041890277E-010 0.59623173924294E-011 0.38114740308870E-005 0.40751058965634E-001 0.46703104489934E-002 0.34530987349922E-002 0.20500039504895E-008 0.20106564568854E-003 0.13511986616140E-004 0.10808615692857E-003 0.12872595851545E-006 0.20175949267527E-003 0.86688242912161E-017 0.26154868219545E-007 0.72730797745764E+000 0.20808054643819E-019 0.46330471395338E+003 0.35000000000000E-001 -.26622582764963E+003 0.49925931535341E-001 0.46330471395338E+003 0.10132500000000E+006 0.72594400225687E-003 0.27598654085286E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.35915602222059E+001
  30 0.83662040597498E-002 0.25315295036171E-003 0.41565633039431E-008 0.22716125144311E-007 0.20646996898496E+000 0.80000336370705E-006 0.16294238143589E-001 0.76708390797209E-004 0.10846265033066E-009 0.79740613743575E-011 0.44484950185654E-005 0.40377573953326E-001 0.49652987545446E-002 0.37254837542608E-002 0.25825171410326E-008 0.21573721304578E-003 0.14732009935207E-004 0.11662986027277E-003 0.15690093057060E-006 0.21904969644685E-003 0.94783799205009E-017 0.27809470853956E-007 0.72726596350803E+000 0.22004561635375E-019 0.47589558872856E+003 0.35000000000000E-001 -.26502852465254E+003 0.49925931535341E-001 0.47589558872856E+003 0.10132500000000E+006 0.70652897969875E-003 0.27590509590038E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.43677660862601E+001
