[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.80, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
  21 -.10656458388105E-001 0.83791062158895E-004 0.32688866314365E-012 0.35644795390215E-009 0.22167125548705E+000 0.17148211226139E-007 0.24578441534429E-002 0.86087967779486E-005 0.84094104731366E-013 0.48394536782546E-014 0.11299613197948E-006 0.42651176874375E-001 0.51427426378865E-003 0.24075891810633E-003 0.34167770895006E-011 0.15481586745847E-004 0.21772002935719E-006 0.64795795158513E-005 0.22710609485047E-009 0.99079334369614E-005 0.64567932383533E-019 0.23506226835741E-008 0.73234007054222E+000 0.14632287238298E-023 0.33057760718074E+003 0.32418427810144E-001 -.20088539107624E+003 0.44626161663977E-001 0.10132500000000E+006 0.10259608397076E-002 0.27830581380013E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33057760718074E+003 0.20983907268417E-001
  22 -.95839614376699E-002 0.87377789276015E-004 0.47348486212005E-012 0.42089521521200E-009 0.22147644946329E+000 0.20715635895570E-007 0.27686764970145E-002 0.98531404076036E-005 0.11763088637008E-012 0.68580421366959E-014 0.13289409254213E-006 0.42451307704746E-001 0.58956677128956E-003 0.28744122577989E-003 0.49156350290059E-011 0.18446196459055E-004 0.28215991603743E-006 0.77150259322440E-005 0.31508282851840E-009 0.11976566508871E-004 0.72770630366100E-019 0.26972693980774E-008 0.73229075041089E+000 0.16440209686373E-023 0.33470826660226E+003 0.32418427810144E-001 -.20042381878264E+003 0.44626161663978E-001 0.10132500000000E+006 0.10132224620581E-002 0.27828468770227E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33470826660226E+003 0.27641411762324E-001
  23 -.85912041960123E-002 0.90856510392493E-004 0.67156123611913E-012 0.49398543294841E-009 0.22126509947050E+000 0.24688738646454E-007 0.30875770592919E-002 0.11150225225807E-004 0.16114792494727E-012 0.95187077753403E-014 0.15518001750933E-006 0.42251573990762E-001 0.66825991273129E-003 0.33808465861941E-003 0.68753382561780E-011 0.21650004893462E-004 0.35773924246174E-006 0.90523942617658E-005 0.42602689275228E-009 0.14248436154576E-004 0.81327182609615E-019 0.30598387557281E-008 0.73224190574160E+000 0.18286179343079E-023 0.33898115968067E+003 0.32418427810144E-001 -.19996363877872E+003 0.44626161663979E-001 0.10132500000000E+006 0.10003710021603E-002 0.27826252272331E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33898115968067E+003 0.35658764164707E-001
  24 -.76650051668505E-002 0.94247422242867E-004 0.93621955811788E-012 0.57685605788097E-009 0.22103758761475E+000 0.29098856112751E-007 0.34142500429362E-002 0.12498650478440E-004 0.21701516425220E-012 0.12987603373175E-013 0.18013427618187E-006 0.42051914509927E-001 0.75028435523675E-003 0.39269421040670E-003 0.93941891754362E-011 0.25090995609821E-004 0.44524502956450E-006 0.10491773947019E-004 0.56391240577752E-009 0.16726284806182E-004 0.90262641576778E-019 0.34380002003161E-008 0.73219355507217E+000 0.20440828585452E-023 0.34339205323271E+003 0.32418427810144E-001 -.19950433352344E+003 0.44626161663980E-001 0.10132500000000E+006 0.98743882317466E-003 0.27823931893235E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.34339205323271E+003 0.45206574276322E-001
  25 -.67952055947012E-002 0.97566379508256E-004 0.12866266698964E-011 0.67077437705007E-009 0.22079425366391E+000 0.33979751580967E-007 0.37484230738845E-002 0.13897168560371E-004 0.28808603556880E-012 0.17468024388006E-013 0.20805846603161E-006 0.41852277780330E-001 0.83557850794653E-003 0.45127530625940E-003 0.12585588174869E-010 0.28767130356660E-004 0.54543432566239E-006 0.12033291774125E-004 0.73323483133057E-009 0.19412779741395E-004 0.99604909866531E-019 0.38314593922909E-008 0.73214572219554E+000 0.22959944663504E-023 0.34793704902502E+003 0.32418427810144E-001 -.19904541222440E+003 0.44626161663981E-001 0.10132500000000E+006 0.97445532992650E-003 0.27821508487821E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.34793704902502E+003 0.56470412581585E-001
  26 -.59738099404858E-002 0.10082604947924E-003 0.17471761205016E-011 0.77715451283942E-009 0.22053540598344E+000 0.39367490882634E-007 0.40898429627139E-002 0.15344656191163E-004 0.37778083651701E-012 0.23207482417702E-013 0.23927695978374E-006 0.41652618885042E-001 0.92408667380735E-003 0.51383302117246E-003 0.16579833113159E-010 0.32676299562031E-004 0.65902978645688E-006 0.13677088632151E-004 0.93908476164685E-009 0.22310487680821E-004 0.10938512784231E-018 0.42399495657516E-008 0.73209843424312E+000 0.25589147530951E-023 0.35261250608097E+003 0.32418427810144E-001 -.19858640823851E+003 0.44626161663981E-001 0.10132500000000E+006 0.96144729742732E-003 0.27818983506728E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.35261250608097E+003 0.69652154682092E-001
  27 -.51944106902280E-002 0.10403670685448E-003 0.23491259121996E-011 0.89757628169786E-009 0.22026132885929E+000 0.45300417097203E-007 0.44382732053241E-002 0.16840096520580E-004 0.49018284452088E-012 0.30505945986906E-013 0.27413854140422E-006 0.41452896959863E-001 0.10157578753429E-002 0.58037166389570E-003 0.21526101052395E-010 0.36816296051957E-004 0.78671567489418E-006 0.15423306272771E-004 0.11872332930497E-008 0.25421862468563E-004 0.11963811225757E-018 0.46632260366072E-008 0.73205172024105E+000 0.27907793321681E-023 0.35741499353221E+003 0.32418427810144E-001 -.19812687633452E+003 0.44626161663982E-001 0.10132500000000E+006 0.94843910083891E-003 0.27816358823536E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.35741499353221E+003 0.84971584006930E-001
  28 -.44517953186072E-002 0.10720678104275E-003 0.31330016452389E-011 0.10338056084877E-008 0.21997228877706E+000 0.51819181673522E-007 0.47934908124855E-002 0.18382560641231E-004 0.63014859026835E-012 0.39725392843883E-013 0.31301794381402E-006 0.41253074200314E-001 0.11105446566532E-002 0.65089426745250E-003 0.27594618060162E-010 0.41184783105644E-004 0.92913357392585E-006 0.17272071873299E-004 0.14842295726793E-008 0.28749225722454E-004 0.13040279299208E-018 0.51010606281537E-008 0.73200561024246E+000 0.30184369159929E-023 0.36234123881249E+003 0.32418427810144E-001 -.19766639231070E+003 0.44626161663983E-001 0.10132500000000E+006 0.93545295010094E-003 0.27813636624648E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.36234123881249E+003 0.10266829234725E+000
  29 -.37416681430233E-002 0.11034325099490E-003 0.41522302189768E-011 0.11878171265154E-008 0.21966853927033E+000 0.58966846286421E-007 0.51552837571378E-002 0.19971192884002E-004 0.80343470099983E-012 0.51300886851748E-013 0.35631738696079E-006 0.41053115238040E-001 0.12084021334799E-002 0.72540217901933E-003 0.34979059552693E-010 0.45779269013165E-004 0.10868781437332E-005 0.19223485401739E-004 0.18375129106100E-008 0.32294749735821E-004 0.14172269481650E-018 0.55532372579017E-008 0.73196013469304E+000 0.32404862854468E-023 0.36738808709070E+003 0.32418427810144E-001 -.19720455266299E+003 0.44626161663983E-001 0.10132500000000E+006 0.92250908381876E-003 0.27810819332593E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.36738808709070E+003 0.12300407076292E+000
  30 -.30604476223478E-002 0.11345194235495E-003 0.54787048916666E-011 0.13618196296393E-008 0.21935032409454E+000 0.66789071784779E-007 0.55234496118071E-002 0.21605201905111E-004 0.10168444167844E-011 0.65753448206424E-013 0.40446821241772E-006 0.40852986374383E-001 0.13092874258095E-002 0.80389487940166E-003 0.43899242826375E-010 0.50597096035551E-004 0.12604932745688E-005 0.21277613118674E-004 0.22555424438761E-008 0.36060449472541E-004 0.15364649665228E-018 0.60195493030054E-008 0.73191532387325E+000 0.34817067437385E-023 0.37255247925298E+003 0.32418427810144E-001 -.19674097334641E+003 0.44626161663984E-001 0.10132500000000E+006 0.90962590813066E-003 0.27807909545474E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.37255247925298E+003 0.14626603492732E+000
