[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         200
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.90, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Burner stabilized flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Tsolid           Press            Density          MeanMass         Surface          Stretch          Porosity         DensSolid        HeatRel         
  21 0.25499215524083E-002 0.18700785494834E-003 0.38663970877191E-010 0.37506674034156E-008 0.21483232191633E+000 0.20334490542247E-006 0.90919587119274E-002 0.39334008408219E-004 0.74249641328719E-011 0.44761069453053E-012 0.93117527820518E-006 0.43777904089818E-001 0.25120176369650E-002 0.15830089411002E-002 0.25881902261988E-009 0.95584117326446E-004 0.51392850232905E-005 0.49600774561655E-004 0.22757657604624E-007 0.86747417229748E-004 0.43881230308226E-017 0.14045605095098E-007 0.72773819986689E+000 -.76588050255845E-021 0.36716928630640E+003 0.35000000000000E-001 -.27545458938682E+003 0.49925931535341E-001 0.36716928630640E+003 0.10132500000000E+006 0.91805750563714E-003 0.27660134883010E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.68592833569157E+000
  22 0.32560703038561E-002 0.19408787610121E-003 0.65893781918007E-010 0.45499301297200E-008 0.21405884944967E+000 0.23745795541122E-006 0.98246186639100E-002 0.42946262450214E-004 0.10057167386080E-010 0.62279975634452E-012 0.11156916020135E-005 0.43411655449071E-001 0.27475523270113E-002 0.17740134031764E-002 0.33988557194572E-009 0.10675817993476E-003 0.59421633412021E-005 0.55560025108226E-004 0.28360801435296E-007 0.98109020232757E-004 0.47684624834966E-017 0.15367205379356E-007 0.72767850533604E+000 -.53553610623558E-021 0.37805235598190E+003 0.35000000000000E-001 -.27437706665797E+003 0.49925931535341E-001 0.37805235598190E+003 0.10132500000000E+006 0.89140951233205E-003 0.27653319777104E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.83954028673328E+000
  23 0.39597376020543E-002 0.20140222277190E-003 0.11630877328392E-009 0.55676708712209E-008 0.21322518704542E+000 0.27826036135114E-006 0.10593415627483E-001 0.46791857593636E-004 0.13737733245769E-010 0.87339970499596E-012 0.13430400456524E-005 0.43034205343032E-001 0.29984561833311E-002 0.19816826604303E-002 0.44702206506567E-009 0.11879805429352E-003 0.68407648944099E-005 0.62042461023794E-004 0.35487802612890E-007 0.11058323143900E-003 0.51877254621009E-017 0.16775065672159E-007 0.72761891483940E+000 -.37141494662870E-021 0.38952776200281E+003 0.35000000000000E-001 -.27325690952057E+003 0.49925931535341E-001 0.38952776200281E+003 0.10132500000000E+006 0.86492198953316E-003 0.27646070871101E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.10337141263790E+001
  24 0.46482415264086E-002 0.20881145490054E-003 0.20744025052213E-009 0.68346789750263E-008 0.21234683100031E+000 0.32600131484920E-006 0.11383275366575E-001 0.50799789238883E-004 0.18769558271594E-010 0.12236818648232E-011 0.16157987480255E-005 0.42652721488650E-001 0.32600708734077E-002 0.22024298496124E-002 0.58553972235344E-009 0.13147515795706E-003 0.78185161252695E-005 0.68937306766486E-004 0.44381085901092E-007 0.12396894397141E-003 0.56445003350574E-017 0.18243009215097E-007 0.72756084818068E+000 -.31431336303460E-021 0.40137070878611E+003 0.35000000000000E-001 -.27211380569017E+003 0.49925931535341E-001 0.40137070878611E+003 0.10132500000000E+006 0.83917260482470E-003 0.27638536051838E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.12754909270491E+001
  25 0.53157891242386E-002 0.21623476459919E-003 0.36624935057441E-009 0.83883877262349E-008 0.21143446117174E+000 0.38108280135965E-006 0.12184759610554E-001 0.54922764470170E-004 0.25530492159083E-010 0.17043223065705E-011 0.19368944949070E-005 0.42271233979769E-001 0.35293512156502E-002 0.24337545075493E-002 0.76179890153130E-009 0.14462931338688E-003 0.88609643855793E-005 0.76167438147484E-004 0.55330267315720E-007 0.13812259814576E-003 0.61404547821013E-017 0.19753913992089E-007 0.72750509906646E+000 -.33668695719089E-021 0.41343709771298E+003 0.35000000000000E-001 -.27095879701570E+003 0.49925931535341E-001 0.41343709771298E+003 0.10132500000000E+006 0.81445332073608E-003 0.27630815590125E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.15736010337942E+001
  26 0.59612232235497E-002 0.22363682251770E-003 0.63181512132809E-009 0.10276596362936E-007 0.21049415981461E+000 0.44415162724667E-006 0.12993133740295E-001 0.59133811877116E-004 0.34503610251843E-010 0.23548366178537E-011 0.23101438057355E-005 0.41891369539642E-001 0.38046886148168E-002 0.26742389167056E-002 0.98375641409517E-009 0.15816590959400E-003 0.99568106169377E-005 0.83689281762742E-004 0.68692834172896E-007 0.15296142557389E-003 0.66803243738139E-017 0.21298725392620E-007 0.72745200909597E+000 -.55622759918085E-021 0.42565179173262E+003 0.35000000000000E-001 -.26979615585179E+003 0.49925931535341E-001 0.42565179173262E+003 0.10132500000000E+006 0.79085668804844E-003 0.27622966722298E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.19387804373982E+001
  27 0.65855476081120E-002 0.23100670052896E-003 0.10579651517906E-008 0.12559208768929E-007 0.20952917464518E+000 0.51608713462947E-006 0.13806346550066E-001 0.63416837891482E-004 0.46306549785708E-010 0.32261061340129E-011 0.27402339874892E-005 0.41513473708017E-001 0.40853249715542E-002 0.29231440663675E-002 0.12613537042192E-008 0.17203060911593E-003 0.11096739745712E-004 0.91480238503164E-004 0.84899637715586E-007 0.16844137032618E-003 0.72712881466368E-017 0.22873167923682E-007 0.72740168454072E+000 -.77913816553545E-021 0.43797959248103E+003 0.35000000000000E-001 -.26862651257015E+003 0.49925931535341E-001 0.43797959248103E+003 0.10132500000000E+006 0.76837537109248E-003 0.27615020740148E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.23836037370925E+001
  28 0.71904265053442E-002 0.23834322894401E-003 0.17155631665102E-008 0.15309282540888E-007 0.20854141698551E+000 0.59795534803258E-006 0.14623523864115E-001 0.67759197819567E-004 0.61721143806626E-010 0.43830369601674E-011 0.32325037751547E-005 0.41137382878057E-001 0.43708861897664E-002 0.31800511069641E-002 0.16068298278055E-008 0.18618783036555E-003 0.12272076829772E-004 0.99527506929008E-004 0.10445250674981E-006 0.18453633979465E-003 0.79224871340456E-017 0.24475127137786E-007 0.72735413471036E+000 -.11006800841308E-020 0.45040310937328E+003 0.35000000000000E-001 -.26744906081073E+003 0.49925931535341E-001 0.45040310937328E+003 0.10132500000000E+006 0.74696408443890E-003 0.27606996695581E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.29220981446833E+001
  29 0.77775529904971E-002 0.24564810809674E-003 0.26942608617606E-008 0.18614429927864E-007 0.20753225408083E+000 0.69096827378942E-006 0.15444222846557E-001 0.72147922898177E-004 0.81726537206246E-010 0.59075614778457E-011 0.37927616041631E-005 0.40762787671688E-001 0.46611432710056E-002 0.34446683233763E-002 0.20350586329245E-008 0.20060942642487E-003 0.13474018528696E-004 0.10782205830752E-003 0.12792017993943E-006 0.20122673756992E-003 0.86448809390381E-017 0.26103308605691E-007 0.72730933434997E+000 -.12821149318656E-020 0.46291167960041E+003 0.35000000000000E-001 -.26626260710388E+003 0.49925931535341E-001 0.46291167960041E+003 0.10132500000000E+006 0.72656706014033E-003 0.27598908450287E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.35693493643418E+001
  30 0.83484597261835E-002 0.25292345144921E-003 0.41036479727009E-008 0.22578854531834E-007 0.20650282866898E+000 0.79645265070727E-006 0.16268146445108E-001 0.76568341182736E-004 0.10753721314039E-009 0.79020876141153E-011 0.44271838891028E-005 0.40389364315553E-001 0.49559186364325E-002 0.37167528775365E-002 0.25639419185946E-008 0.21527019635527E-003 0.14693337455388E-004 0.11635619102389E-003 0.15593402767446E-006 0.21849471633919E-003 0.94513534189474E-017 0.27756711926571E-007 0.72726724613342E+000 -.15018629472657E-020 0.47549709021101E+003 0.35000000000000E-001 -.26506594940518E+003 0.49925931535341E-001 0.47549709021101E+003 0.10132500000000E+006 0.70712770799400E-003 0.27590767481138E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.43411761682148E+001
