[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.95, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
  22 -.59526092330216E-002 0.16796631521157E-003 0.31053474334468E-011 0.13807904667591E-008 0.21926754664266E+000 0.68870672189954E-007 0.34020292036865E-002 0.15405928006127E-004 0.11077899376577E-011 0.66176451847629E-013 0.39933754078490E-006 0.49674289173734E-001 0.85136822564594E-003 0.31009169360212E-003 0.24331532545965E-010 0.26780695429008E-004 0.12291128006354E-005 0.13825537062817E-004 0.26708614349805E-008 0.22443280581786E-004 0.49937209853921E-017 0.49244869601542E-008 0.72624654697862E+000 0.62766664307528E-038 0.34318584447353E+003 0.41909794878858E-001 -.23419772138327E+003 0.52553827797940E-001 0.10132500000000E+006 0.98132540820704E-003 0.27635063850088E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.34318584447353E+003 0.12805968423648E+000
  23 -.52784812448584E-002 0.17392805402206E-003 0.42856942750346E-011 0.15915207755717E-008 0.21903217844715E+000 0.79866585164804E-007 0.37379907255123E-002 0.17133678382393E-004 0.14513235843131E-011 0.87837186571388E-013 0.45820200112874E-006 0.49453849556424E-001 0.94892351811209E-003 0.35671835374089E-003 0.32347319771059E-010 0.30681208644688E-004 0.14787844599285E-005 0.15873621555209E-004 0.34308138790468E-008 0.26073790927179E-004 0.54737005997690E-017 0.54925268405665E-008 0.72620462163945E+000 0.55860220075032E-038 0.34773114069349E+003 0.41909794878858E-001 -.23355800585620E+003 0.52553827797940E-001 0.10132500000000E+006 0.96839266112284E-003 0.27632051994464E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.34773114069349E+003 0.15847553216772E+000
  24 -.46426924189879E-002 0.17977660457590E-003 0.58760574317608E-011 0.18277362848482E-008 0.21878161963569E+000 0.91888917478018E-007 0.40810316526794E-002 0.18920747196012E-004 0.18774033917824E-011 0.11511067791509E-012 0.52323824760307E-006 0.49234018221077E-001 0.10500944282328E-002 0.40649031991572E-003 0.42281404599936E-010 0.34818296437031E-004 0.17557263266997E-005 0.18056739121571E-004 0.43437537149683E-008 0.29987665320520E-004 0.59698372585282E-017 0.60819169658143E-008 0.72616280253270E+000 0.49368293985583E-038 0.35240176419973E+003 0.41909794878858E-001 -.23291670738761E+003 0.52553827797940E-001 0.10132500000000E+006 0.95545033209135E-003 0.27628941847968E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.35240176419973E+003 0.19370604683000E+000
  25 -.40398376711835E-002 0.18553372225175E-003 0.80371488370750E-011 0.20925987983339E-008 0.21851606932532E+000 0.10501591865658E-006 0.44310682379495E-002 0.20766980895861E-004 0.24025121378040E-011 0.14922235729298E-012 0.59505740158460E-006 0.49014627849092E-001 0.11548655743438E-002 0.45943023326670E-003 0.54472798291287E-010 0.39190574220208E-004 0.20606787141865E-005 0.20375914694799E-004 0.54324131628927E-008 0.34189547242283E-004 0.64834500642081E-017 0.66925539341651E-008 0.72612110700606E+000 0.43444519401158E-038 0.35719628085268E+003 0.41909794878858E-001 -.23227297655503E+003 0.52553827797940E-001 0.10132500000000E+006 0.94251613525193E-003 0.27625731392684E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.35719628085268E+003 0.23430142104891E+000
  26 -.34655897931307E-002 0.19121696429432E-003 0.11009941746959E-010 0.23896289993885E-008 0.21823570856434E+000 0.11933258094952E-006 0.47880061837966E-002 0.22672265938717E-004 0.30460837097915E-011 0.19163632809562E-012 0.67431174523589E-006 0.48795540393339E-001 0.12632211008030E-002 0.51555979071907E-003 0.69308918095707E-010 0.43796534322276E-004 0.23942848649520E-005 0.22832149943762E-004 0.67224744285397E-008 0.38683952335340E-004 0.70159387450427E-017 0.73243324680733E-008 0.72607955765099E+000 0.38199784988163E-038 0.36211313805915E+003 0.41909794878858E-001 -.23162605980084E+003 0.52553827797940E-001 0.10132500000000E+006 0.92960697394346E-003 0.27622419581610E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.36211313805915E+003 0.28088745579519E+000
  27 -.29164274696762E-002 0.19684070522185E-003 0.15158097393331E-010 0.27227537208048E-008 0.21794070478156E+000 0.13493145747962E-006 0.51517450833066E-002 0.24636530085483E-004 0.38310014626270E-011 0.24409830481259E-012 0.76169799854037E-006 0.48576638672594E-001 0.13751450395935E-002 0.57489965019445E-003 0.87232274616326E-010 0.48634536462668E-004 0.27570858565954E-005 0.25426417832456E-004 0.82429562723248E-008 0.43475256824801E-004 0.75688092976329E-017 0.79771473110565E-008 0.72603818056169E+000 0.33713244845649E-038 0.36715070637247E+003 0.41909794878858E-001 -.23097527652001E+003 0.52553827797940E-001 0.10132500000000E+006 0.91673880497250E-003 0.27619006098691E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.36715070637247E+003 0.33418382786709E+000
  28 -.23894437257360E-002 0.20241686675286E-003 0.21028274649452E-010 0.30963587779546E-008 0.21763121439647E+000 0.15191369362491E-006 0.55221820720470E-002 0.26659741073112E-004 0.47841864511005E-011 0.30868639170971E-012 0.85796070721204E-006 0.48357820183895E-001 0.14906217409046E-002 0.63746949610663E-003 0.10874829591957E-009 0.53702811388602E-004 0.31495163417727E-005 0.28159663990424E-004 0.10026648687381E-007 0.48567698598097E-004 0.81436986939034E-017 0.86508956023399E-008 0.72599700402925E+000 0.30036443911051E-038 0.37230731696537E+003 0.41909794878858E-001 -.23032000187625E+003 0.52553827797940E-001 0.10132500000000E+006 0.90392654036434E-003 0.27615491181573E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.37230731696537E+003 0.39502639450584E+000
  29 -.18821945900269E-002 0.20795560178205E-003 0.29432759492133E-010 0.35153602055770E-008 0.21730737533663E+000 0.17039077800510E-006 0.58992250157382E-002 0.28741957759556E-004 0.59373271987507E-011 0.38787358351959E-012 0.96389875070366E-006 0.48138986652834E-001 0.16096395634981E-002 0.70329001909349E-003 0.13443526906302E-009 0.58999617853738E-004 0.35719126298530E-005 0.31032891452925E-004 0.12110659258009E-007 0.53965535773406E-004 0.87424159348853E-017 0.93454983302422E-008 0.72595605646371E+000 0.27195309727747E-038 0.37758143776704E+003 0.41909794878858E-001 -.22965963593495E+003 0.52553827797940E-001 0.10132500000000E+006 0.89118364188536E-003 0.27611875388643E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.37758143776704E+003 0.46439519018997E+000
  30 -.13925096901247E-002 0.21346672278605E-003 0.41560938092672E-010 0.39853712972625E-008 0.21696924101430E+000 0.19049011326071E-006 0.62828683343235E-002 0.30883734352965E-004 0.73280236916994E-011 0.48462164430611E-012 0.10803933496140E-005 0.47919999552210E-001 0.17322150996710E-002 0.77239685568030E-003 0.16496207177506E-009 0.64524346508409E-004 0.40246012113785E-005 0.34047766647353E-004 0.14537490439289E-007 0.59674203203594E-004 0.93670905378147E-017 0.10061041732876E-007 0.72591535808741E+000 0.25194311398682E-038 0.38297273935076E+003 0.41909794878858E-001 -.22899346723250E+003 0.52553827797940E-001 0.10132500000000E+006 0.87851973110588E-003 0.27608158774754E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.38297273935076E+003 0.54346050024762E+000
  31 -.91807841228243E-003 0.21896414683365E-003 0.59139148543287E-010 0.45132658865439E-008 0.21661649285523E+000 0.21237584405165E-006 0.66735000873160E-002 0.33087859098222E-004 0.90024870404858E-011 0.60258952107352E-012 0.12085263802166E-005 0.47700510993806E-001 0.18584943443057E-002 0.84490057424359E-003 0.20113725501041E-009 0.70282224738100E-004 0.45083062010915E-005 0.37209231150538E-004 0.17358381179704E-007 0.65705358591711E-004 0.10020736753886E-016 0.10798368196420E-007 0.72587489017637E+000 0.24026409623205E-038 0.38848646122775E+003 0.41909794878858E-001 -.22832014486423E+003 0.52553827797940E-001 0.10132500000000E+006 0.86593118832057E-003 0.27604337771004E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.38848646122775E+003 0.63369904407439E+000
