[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 Temp (K), Cp (J/gr), Conductivity (W/cm.K), Viscosity (gr/cm.s), check this !!!                     
[NUMBER_OF_SPECIES]
           4
[NUMBER_OF_VARIABLES]
           4

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) Temp             Cp               Lambda           Eta             
  93 0.18440342375359E-001 0.92956594093402E+003 0.13103382596564E+001 0.73580716027742E-003 0.39624340907189E-003
  94 0.18683023304442E-001 0.93993410251053E+003 0.13138560899744E+001 0.74316747694599E-003 0.39915591439997E-003
  95 0.18925218812795E-001 0.95034565547710E+003 0.13173303166060E+001 0.75055063647947E-003 0.40206916292945E-003
  96 0.19167068150135E-001 0.96080461249974E+003 0.13207584145814E+001 0.75795898065778E-003 0.40498419551966E-003
  97 0.19408736355541E-001 0.97131620670422E+003 0.13241379472784E+001 0.76539525118228E-003 0.40790219750653E-003
  98 0.19650357049021E-001 0.98188440137284E+003 0.13274657226149E+001 0.77286184988298E-003 0.41082420791658E-003
  99 0.19892013278108E-001 0.99251099466468E+003 0.13307375327476E+001 0.78036035821999E-003 0.41375093402106E-003
 100 0.20133766237777E-001 0.10031966828399E+004 0.13338986415871E+001 0.78789200316510E-003 0.41668293695684E-003
 101 0.20375702395462E-001 0.10139436993337E+004 0.13369048704464E+001 0.79545868818033E-003 0.41962103366289E-003
 102 0.20617970640180E-001 0.10247565681997E+004 0.13398880094083E+001 0.80306348829192E-003 0.42256648506973E-003
 103 0.20860773480111E-001 0.10356424185043E+004 0.13428494802049E+001 0.81071033888846E-003 0.42552087118494E-003
 104 0.21104307018489E-001 0.10466081498848E+004 0.13457905327271E+001 0.81840326411703E-003 0.42848579088735E-003
 105 0.21348717096109E-001 0.10576584182740E+004 0.13487117206763E+001 0.82614568017232E-003 0.43146259407965E-003
 106 0.21594117753273E-001 0.10687964103225E+004 0.13516131448675E+001 0.83394029302514E-003 0.43445234547989E-003
 107 0.21840629862384E-001 0.10800255621532E+004 0.13544949193092E+001 0.84178963256095E-003 0.43745603234840E-003
 108 0.22088397538018E-001 0.10913502992685E+004 0.13573573519878E+001 0.84969664349310E-003 0.44047479099064E-003
 109 0.22337587438394E-001 0.11027760024200E+004 0.13602009172571E+001 0.85766487546807E-003 0.44350997755233E-003
 110 0.22588384779453E-001 0.11143088165206E+004 0.13630261907565E+001 0.86569839485561E-003 0.44656313217248E-003
 111 0.22840989089210E-001 0.11259554393786E+004 0.13658337838453E+001 0.87380166448719E-003 0.44963593149610E-003
 112 0.23095611496629E-001 0.11377229735528E+004 0.13686242977332E+001 0.88197950037605E-003 0.45273017090646E-003
 113 0.23352477324916E-001 0.11496190176696E+004 0.13713983363971E+001 0.89023712188130E-003 0.45584778221442E-003
 114 0.23611833180817E-001 0.11616519627334E+004 0.13741565638502E+001 0.89858008789950E-003 0.45899080826380E-003
 115 0.23873941875168E-001 0.11738307191737E+004 0.13768996271481E+001 0.90701337614373E-003 0.46216105623733E-003
 116 0.24139019841512E-001 0.11861617577088E+004 0.13796274969897E+001 0.91553852453535E-003 0.46535902942998E-003
 117 0.24407066368996E-001 0.11986410921523E+004 0.13823377919280E+001 0.92414906961143E-003 0.46858223550329E-003
 118 0.24677643665050E-001 0.12112439659267E+004 0.13850238147440E+001 0.93282742943074E-003 0.47182405361354E-003
 119 0.24949852497077E-001 0.12239237122791E+004 0.13876747426726E+001 0.94154678766823E-003 0.47507447593862E-003
 120 0.25222665019879E-001 0.12366273733239E+004 0.13902792459073E+001 0.95027767018240E-003 0.47832258315701E-003
 121 0.25495352758867E-001 0.12493157995022E+004 0.13928296101335E+001 0.95899564261281E-003 0.48155940670938E-003
 122 0.25767628991517E-001 0.12619703676873E+004 0.13953227598134E+001 0.96768556306320E-003 0.48477948275931E-003
 123 0.26039484998491E-001 0.12745853524492E+004 0.13977583844518E+001 0.97633920232825E-003 0.48797993789074E-003
 124 0.26310900310630E-001 0.12871544411801E+004 0.14001361571915E+001 0.98494739427173E-003 0.49115756866895E-003
 125 0.26581514178834E-001 0.12996555927194E+004 0.14024529675763E+001 0.99349161641940E-003 0.49430574434163E-003
 126 0.26850378891955E-001 0.13120399484030E+004 0.14047012236322E+001 0.10019409659859E-002 0.49741332431812E-003
 127 0.27116082525209E-001 0.13242380169319E+004 0.14068704218844E+001 0.10102572129946E-002 0.50046654715532E-003
 128 0.27377298291454E-001 0.13361853602762E+004 0.14089519073542E+001 0.10184046403793E-002 0.50345265167127E-003
 129 0.27633276277472E-001 0.13478451131509E+004 0.14109425239713E+001 0.10263591101710E-002 0.50636317963372E-003
 130 0.27883873826320E-001 0.13592089557642E+004 0.14128442456438E+001 0.10341114961036E-002 0.50919519139819E-003
 131 0.28129297208201E-001 0.13702848979160E+004 0.14146616917770E+001 0.10416642344853E-002 0.51194996395232E-003
