[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          27

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac         
  21 -.61559286060224E-002 -.34384865399094E-008 -.11177501144759E-008 -.11324838564763E-008 -.28660158466726E-006 -.46325216045166E-007 0.27941308500187E-006 0.48064219018508E-007 -.26549916084123E-011 -.17779937449654E-012 -.14759461563406E-006 -.13268327095429E-006 0.16877661954918E-007 0.63918223219109E-008 -.15784747923676E-010 0.34770747905356E-006 -.13223365470798E-006 0.17765158476156E-008 -.11473824639633E-008 0.20147464368771E-007 -.87498593925463E-018 0.87189728915503E-018 0.15443250497989E-020 0.00000000000000E+000 0.12713467355609E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  22 -.54453472823911E-002 -.44615796516957E-008 -.17714930324503E-008 -.14678583417222E-008 -.35086670415838E-006 -.56896874817190E-007 0.35186887739252E-006 0.48760723598343E-007 -.37314250185348E-011 -.25433473966726E-012 -.19261307615541E-006 -.16384272784880E-006 0.22682368526057E-007 0.83727561448184E-008 -.21990204530599E-010 0.42461078924554E-006 -.15330886297133E-006 0.24473172414246E-008 -.15586081906402E-008 0.26173655460918E-007 -.10866364031978E-017 0.10828687870267E-017 0.18838080855193E-020 0.00000000000000E+000 0.16022243555652E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  23 -.47795076598251E-002 -.57201642617188E-008 -.28397142638253E-008 -.18784250366691E-008 -.42396848735499E-006 -.69219061984936E-007 0.43706484994822E-006 0.46967631806806E-007 -.51574534313197E-011 -.35748429537889E-012 -.24644095168830E-006 -.20045570164479E-006 0.29826522352683E-007 0.10766732103599E-007 -.30056861931832E-010 0.51088861871165E-006 -.17418420024119E-006 0.33117844635876E-008 -.20837970598315E-008 0.33589288699241E-007 -.13404368657229E-017 0.13359106058593E-017 0.22631299318238E-020 0.00000000000000E+000 0.19893755103206E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  24 -.41514889080853E-002 -.72598451365695E-008 -.46159325955849E-008 -.23782619668998E-008 -.50691557908147E-006 -.83541576392711E-007 0.53659337051316E-006 0.42313600610898E-007 -.70278942484190E-011 -.49498012592271E-012 -.31019096799780E-006 -.24335527839228E-006 0.38508508720541E-007 0.13631481263583E-007 -.40432924979438E-010 0.60705635031998E-006 -.19425696385675E-006 0.44144133575194E-008 -.27488942795619E-008 0.42661893793077E-007 -.16439447741710E-017 0.16385769040522E-017 0.26839350593587E-020 0.00000000000000E+000 0.24396404099132E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  25 -.35558803563575E-002 -.91337160850859E-008 -.75882494050637E-008 -.29838778636488E-008 -.60097733593835E-006 -.10016237424863E-006 0.65222105279155E-006 0.34563409106832E-007 -.94605249754833E-011 -.67652720298195E-012 -.38507789948647E-006 -.29348638737518E-006 0.48946660987994E-007 0.17030871192021E-007 -.53663710548758E-010 0.71365448077860E-006 -.21285616745832E-006 0.58081803677437E-008 -.35849020899764E-008 0.53702842784271E-007 -.20059207948463E-017 0.19996249394446E-017 0.31479277008572E-020 0.00000000000000E+000 0.29608853009032E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  26 -.29883608767223E-002 -.11403225001592E-007 -.12535425027110E-007 -.37146210823955E-008 -.70778098275567E-006 -.11943806112099E-006 0.78591319562648E-006 0.23704502597801E-007 -.12601576546407E-010 -.91428356128271E-012 -.47242427682980E-006 -.35191987191644E-006 0.61381661103950E-007 0.21035644269807E-007 -.70414073417657E-010 0.83125044039089E-006 -.22924052907083E-006 0.75558684255181E-008 -.46286635732124E-008 0.67073226140666E-007 -.24365070642575E-017 0.24291932537750E-017 0.36569052412309E-020 0.00000000000000E+000 0.35622776283051E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  27 -.24454129628669E-002 -.14139021816285E-007 -.20647379282055E-007 -.45931655585808E-008 -.82943114198546E-006 -.14179442766882E-006 0.93986367867018E-006 0.10052470028762E-007 -.16632592714115E-010 -.12234598766521E-011 -.57366666242625E-006 -.41986909859730E-006 0.76079582479861E-007 0.25724335569581E-007 -.91496421830818E-010 0.96044059638611E-006 -.24259609511561E-006 0.97315399001044E-008 -.59237032500140E-008 0.83190510438928E-007 -.29474347965251E-017 0.29390091981137E-017 0.42127992057044E-020 0.00000000000000E+000 0.42546273598383E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  28 -.19241206420060E-002 -.17421753816034E-007 -.33666752436280E-007 -.56460956082487E-008 -.96864808074204E-006 -.16773642921527E-006 0.11165321348809E-005 -.56298870053658E-008 -.21779100298438E-010 -.16230757777322E-011 -.69036308704071E-006 -.49870994549951E-006 0.93335818007451E-007 0.31184437615135E-007 -.11790601963591E-009 0.11018529708460E-005 -.25203343263017E-006 0.12422168227739E-007 -.75211119805123E-008 0.10253621720155E-006 -.35522710467637E-017 0.35426355934293E-017 0.48177266671989E-020 0.00000000000000E+000 0.50507936623493E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  29 -.14219862764045E-002 -.21343082589193E-007 -.54046857138652E-007 -.69047176071253E-008 -.11289303116405E-005 -.19785929032189E-006 0.13187060997952E-005 -.22009789418215E-007 -.28322491431691E-010 -.21370035289565E-011 -.82421272016778E-006 -.59001228609629E-006 0.11348175354284E-006 0.37514382320888E-007 -.15087042689751E-009 0.12561628033946E-005 -.25658434090525E-006 0.15729709423791E-007 -.94806180476463E-008 0.12566677754028E-006 -.42667738198464E-017 0.42558256117889E-017 0.54741040287422E-020 0.00000000000000E+000 0.59662214255193E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  30 -.93654417209669E-003 -.26009556692043E-007 -.85139489621391E-007 -.84069957459408E-008 -.13148349116676E-005 -.23287956942743E-006 0.15497154207449E-005 -.37074657826851E-007 -.36620505993361E-010 -.27958665926096E-011 -.97717119266443E-006 -.69564231062673E-006 0.13690746951967E-006 0.44830443713889E-007 -.19194272131683E-009 0.14242064501083E-005 -.25519258092210E-006 0.19776024125905E-007 -.11873235642291E-007 0.15324375149905E-006 -.51098493971973E-017 0.50974790320753E-017 0.61851825610029E-020 0.00000000000000E+000 0.70201724768693E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
